carat,cut,color,clarity,depth,table,price,x,y,z
2.18,Premium,I,SI1,55.2,51.0,14599,8.91,8.78,4.92
1.11,Premium,F,IF,62.7,55.6,4930,5.46,5.53,3.42
1.09,Premium,G,VVS2,57.2,51.3,7420,5.48,5.46,3.13
3.22,Fair,G,SI1,55.8,66.5,20891,18.75,18.97,10.46
1.32,Premium,E,VVS1,62.6,69.1,4134,7.99,8.07,5.0
2.13,Good,D,SI1,63.5,67.2,11532,10.74,10.68,6.82
1.5,Premium,G,SI1,57.0,57.4,9194,7.78,7.7,4.43
2.98,Ideal,F,SI2,59.8,64.0,17247,20.47,20.16,12.24
1.07,Very Good,F,I1,61.4,67.1,7435,6.13,6.16,3.76
3.35,Ideal,I,VVS1,56.6,69.6,11219,14.38,14.31,8.14
3.24,Ideal,J,I1,64.2,53.5,9450,18.61,18.43,11.95
2.93,Premium,G,VVS2,63.0,50.9,7421,18.75,18.99,11.81
1.93,Premium,I,VS1,64.1,51.1,8280,12.62,12.58,8.09
2.68,Ideal,F,I1,55.1,68.5,9780,16.26,16.38,8.96
2.78,Fair,E,VVS2,62.4,67.4,17733,13.11,13.23,8.18
0.93,Good,I,VS2,56.9,66.0,3404,5.93,5.88,3.37
1.95,Premium,F,VVS1,55.6,53.9,11286,8.7,8.62,4.84
1.55,Good,G,SI2,60.0,60.2,10194,9.76,9.58,5.86
0.68,Fair,G,I1,62.6,53.9,2076,3.83,3.84,2.4
2.43,Premium,D,VS1,58.5,59.6,14684,13.07,13.12,7.65
1.64,Premium,H,VVS1,62.6,67.4,7040,7.81,7.84,4.89
2.42,Very Good,J,IF,64.2,50.0,8344,16.01,15.84,10.28
1.75,Very Good,D,VVS2,63.9,67.2,6549,7.2,7.18,4.6
1.75,Good,G,SI2,61.0,56.2,6169,7.93,8.03,4.84
1.42,Good,G,VS2,63.5,51.0,8366,9.02,9.02,5.73
1.86,Premium,G,IF,63.2,54.5,4889,11.98,11.79,7.57
0.68,Premium,D,I1,62.9,52.8,1733,3.44,3.39,2.16
3.19,Very Good,I,SI2,61.5,50.3,12839,14.65,14.52,9.01
3.39,Fair,F,VS2,61.4,62.7,21896,16.34,16.53,10.03
1.64,Premium,F,SI1,61.7,53.6,5367,7.06,7.1,4.36
2.92,Ideal,D,VS2,57.6,57.1,13891,14.53,14.38,8.37
2.33,Good,I,VVS2,56.9,60.7,8522,10.56,10.68,6.01
0.63,Very Good,I,VS1,58.0,50.0,3640,3.97,3.97,2.3
0.41,Fair,H,VS2,55.4,55.3,2683,2.27,2.27,1.26
1.15,Premium,E,VS1,62.2,66.1,5251,5.96,5.89,3.71
3.4,Very Good,I,VS1,62.7,64.9,15448,17.03,17.26,10.68
2.05,Fair,E,VVS2,63.9,66.2,7866,11.49,11.43,7.34
3.47,Good,J,IF,60.3,54.8,11155,15.98,15.85,9.64
2.55,Fair,J,SI2,59.5,66.4,10669,12.1,12.21,7.2
3.47,Very Good,J,VS2,62.4,66.6,23491,19.37,19.65,12.09
3.03,Fair,J,VS1,58.6,67.1,19570,17.63,17.93,10.33
2.22,Fair,E,SI1,57.6,58.1,11894,12.69,12.45,7.31
1.8,Fair,J,IF,55.7,50.9,5591,7.67,7.76,4.27
3.1,Ideal,E,I1,58.0,66.9,16442,16.89,17.04,9.8
2.09,Ideal,E,VS2,60.7,58.6,11736,10.57,10.69,6.42
3.24,Good,D,I1,62.9,64.0,14320,15.21,15.13,9.57
2.17,Ideal,J,SI1,56.1,60.7,10425,14.33,14.43,8.04
0.67,Fair,G,VS1,62.1,65.4,2406,4.17,4.15,2.59
1.51,Ideal,J,IF,60.0,67.8,5353,8.91,9.0,5.35
3.39,Good,E,IF,57.7,59.3,12694,20.94,20.66,12.08
1.3,Very Good,I,SI1,59.0,68.4,4739,5.93,5.95,3.5
3.22,Ideal,D,VVS1,63.7,68.9,15849,19.56,19.83,12.46
1.12,Ideal,E,SI2,56.2,66.4,5615,5.04,5.08,2.83
2.72,Premium,F,SI1,56.7,59.1,13035,11.91,11.8,6.75
3.1,Premium,J,SI1,58.5,67.3,12968,14.68,14.69,8.59
3.26,Very Good,F,VVS2,64.7,55.8,20624,19.06,19.09,12.33
3.27,Good,G,VS1,64.0,60.5,13991,17.06,16.9,10.92
0.96,Fair,H,VVS2,61.8,53.2,3931,6.71,6.6,4.15
0.95,Good,H,SI2,61.5,53.7,6198,6.44,6.52,3.96
3.07,Good,D,VS1,64.3,64.9,10953,18.84,18.7,12.11
3.43,Ideal,J,SI2,63.5,54.3,10088,22.55,22.78,14.32
2.04,Ideal,E,VS1,63.0,60.7,7549,8.92,8.94,5.62
2.26,Very Good,H,SI2,55.6,62.0,12106,10.5,10.35,5.84
3.13,Fair,H,VS2,63.3,59.7,11437,19.37,19.12,12.26
1.01,Ideal,E,VS1,62.4,65.9,7262,5.88,5.88,3.67
2.83,Fair,D,IF,63.9,66.2,11106,15.86,16.0,10.13
3.07,Fair,J,VVS1,62.9,51.9,16775,19.24,19.52,12.1
2.62,Ideal,F,IF,61.1,68.1,9291,12.13,12.11,7.41
3.3,Ideal,I,VS1,55.5,57.7,18353,19.63,19.56,10.89
